dataset,filename,setting,psnr,ssim,lpips
LSUI,1040.jpg,Full spatial guide,33.723052978515625,0.9686694145202637,0.0533003956079483
LSUI,1041.jpg,Zero guide,20.451522827148438,0.8350467681884766,0.1707542985677719
LSUI,1042.jpg,Zero guide,22.70796012878418,0.9080531001091003,0.12461194396018982
LSUI,1041.jpg,Uniform guide,32.467586517333984,0.9681188464164734,0.03442901000380516
LSUI,1042.jpg,Uniform guide,22.31424331665039,0.9161679744720459,0.13668009638786316
LSUI,1041.jpg,Raw-input guide,34.437496185302734,0.976019561290741,0.035582445561885834
LSUI,1042.jpg,Raw-input guide,29.323455810546875,0.9667744040489197,0.06411126255989075
LSUI,1041.jpg,Cross-image guide,15.239076614379883,0.7409659028053284,0.2547489404678345
LSUI,1042.jpg,Cross-image guide,21.5477352142334,0.7807140350341797,0.15170833468437195
LSUI,1041.jpg,Full spatial guide,33.094364166259766,0.9698103070259094,0.033532995730638504
LSUI,1042.jpg,Full spatial guide,30.391061782836914,0.9707341194152832,0.0537332221865654
LSUI,1043.jpg,Zero guide,20.76788902282715,0.8526405692100525,0.1735200583934784
LSUI,1044.jpg,Zero guide,17.51531410217285,0.7654612064361572,0.3195730447769165
LSUI,1043.jpg,Uniform guide,26.454051971435547,0.9611599445343018,0.04442814365029335
LSUI,1044.jpg,Uniform guide,26.589433670043945,0.9373555779457092,0.07998158037662506
LSUI,1043.jpg,Raw-input guide,26.850200653076172,0.9610282778739929,0.06416907161474228
LSUI,1044.jpg,Raw-input guide,25.500324249267578,0.929924488067627,0.09125245362520218
LSUI,1043.jpg,Cross-image guide,25.17111587524414,0.9535699486732483,0.13848017156124115
LSUI,1044.jpg,Cross-image guide,25.62451934814453,0.9288918375968933,0.09698399901390076
LSUI,1043.jpg,Full spatial guide,26.530588150024414,0.9615529179573059,0.04412073642015457
LSUI,1044.jpg,Full spatial guide,26.307031631469727,0.935239315032959,0.08168159425258636
LSUI,1045.jpg,Zero guide,16.08861541748047,0.821490466594696,0.3575972616672516
LSUI,1046.jpg,Zero guide,19.233367919921875,0.8785163760185242,0.21230940520763397
LSUI,1045.jpg,Uniform guide,18.83198356628418,0.8917496800422668,0.17738327383995056
LSUI,1046.jpg,Uniform guide,33.2703971862793,0.9769608974456787,0.03042038530111313
LSUI,1045.jpg,Raw-input guide,16.890300750732422,0.864098072052002,0.2374517023563385
LSUI,1046.jpg,Raw-input guide,31.692302703857422,0.9726988673210144,0.04601994901895523
LSUI,1045.jpg,Cross-image guide,19.533723831176758,0.8992337584495544,0.17303036153316498
LSUI,1046.jpg,Cross-image guide,29.980127334594727,0.9649552702903748,0.06577406823635101
LSUI,1045.jpg,Full spatial guide,16.821619033813477,0.8652278780937195,0.22937200963497162
LSUI,1046.jpg,Full spatial guide,32.935264587402344,0.9743586182594299,0.03418324142694473
LSUI,1047.jpg,Zero guide,20.967042922973633,0.9319851994514465,0.16366010904312134
LSUI,1048.jpg,Zero guide,23.791019439697266,0.8883606791496277,0.13276812434196472
LSUI,1047.jpg,Uniform guide,24.35610008239746,0.9650467038154602,0.03200811892747879
LSUI,1048.jpg,Uniform guide,30.36541748046875,0.9669759273529053,0.03137519955635071
LSUI,1047.jpg,Raw-input guide,24.187698364257812,0.9625722765922546,0.03237941116094589
LSUI,1048.jpg,Raw-input guide,29.583932876586914,0.9608917832374573,0.047599103301763535
LSUI,1047.jpg,Cross-image guide,24.688121795654297,0.967716634273529,0.0820477157831192
LSUI,1048.jpg,Cross-image guide,29.471538543701172,0.9535613059997559,0.03822934627532959
LSUI,1047.jpg,Full spatial guide,24.34744644165039,0.9623498320579529,0.04445124790072441
LSUI,1048.jpg,Full spatial guide,31.137008666992188,0.9582920670509338,0.031299903988838196
LSUI,1049.jpg,Zero guide,22.578510284423828,0.8897765278816223,0.1360044777393341
LSUI,1050.jpg,Zero guide,24.444873809814453,0.9177865386009216,0.14126349985599518
LSUI,1049.jpg,Uniform guide,31.30784034729004,0.9794782996177673,0.02039402350783348
LSUI,1050.jpg,Uniform guide,33.48026657104492,0.9792618155479431,0.03646896779537201
LSUI,1049.jpg,Raw-input guide,29.021642684936523,0.9729613661766052,0.026524171233177185
LSUI,1050.jpg,Raw-input guide,31.294546127319336,0.9777600765228271,0.05492929369211197
LSUI,1049.jpg,Cross-image guide,29.054065704345703,0.9726501107215881,0.02619773894548416
LSUI,1050.jpg,Cross-image guide,33.091609954833984,0.9792637228965759,0.03684001415967941
LSUI,1049.jpg,Full spatial guide,30.284427642822266,0.9741761088371277,0.023881878703832626
LSUI,1050.jpg,Full spatial guide,33.32176971435547,0.9793686866760254,0.03394751250743866
LSUI,1051.jpg,Zero guide,25.604658126831055,0.9431226849555969,0.1492108851671219
LSUI,1052.jpg,Zero guide,23.49419403076172,0.9102439284324646,0.11071674525737762
LSUI,1051.jpg,Uniform guide,32.74713897705078,0.9798141121864319,0.03628944233059883
LSUI,1052.jpg,Uniform guide,21.565303802490234,0.9096023440361023,0.14152903854846954
LSUI,1051.jpg,Raw-input guide,29.60556411743164,0.9773305058479309,0.05587735027074814
LSUI,1052.jpg,Raw-input guide,28.068849563598633,0.9631313681602478,0.06979835778474808
LSUI,1051.jpg,Cross-image guide,20.342632293701172,0.9385278820991516,0.21590732038021088
LSUI,1052.jpg,Cross-image guide,21.71402931213379,0.837432324886322,0.16174931824207306
LSUI,1051.jpg,Full spatial guide,31.813268661499023,0.97865891456604,0.03370833769440651
LSUI,1052.jpg,Full spatial guide,29.144718170166016,0.9680228233337402,0.05733177065849304
LSUI,1053.jpg,Zero guide,20.845823287963867,0.9122530817985535,0.12988483905792236
LSUI,1054.jpg,Zero guide,20.6931209564209,0.855373203754425,0.33308714628219604
LSUI,1053.jpg,Uniform guide,34.87290954589844,0.985804557800293,0.016292642802000046
LSUI,1054.jpg,Uniform guide,27.794185638427734,0.9384395480155945,0.11942420899868011
LSUI,1053.jpg,Raw-input guide,31.035137176513672,0.9811236262321472,0.02534034475684166
LSUI,1054.jpg,Raw-input guide,27.487743377685547,0.9367993474006653,0.13348937034606934
LSUI,1053.jpg,Cross-image guide,30.17087745666504,0.9738633036613464,0.030711624771356583
LSUI,1054.jpg,Cross-image guide,26.57865333557129,0.9344515800476074,0.15005433559417725
LSUI,1053.jpg,Full spatial guide,32.147178649902344,0.9821142554283142,0.01741044595837593
LSUI,1054.jpg,Full spatial guide,27.612998962402344,0.9358404278755188,0.1327553242444992
LSUI,1055.jpg,Zero guide,21.04946517944336,0.886127769947052,0.23827315866947174
LSUI,1056.jpg,Zero guide,22.8660888671875,0.8615595698356628,0.21575768291950226
LSUI,1055.jpg,Uniform guide,25.502750396728516,0.9463061690330505,0.0974724292755127
LSUI,1056.jpg,Uniform guide,30.13521385192871,0.9698424339294434,0.04253367334604263
LSUI,1055.jpg,Raw-input guide,25.665996551513672,0.946588933467865,0.13139206171035767
LSUI,1056.jpg,Raw-input guide,31.367881774902344,0.9647418856620789,0.06265687942504883
LSUI,1055.jpg,Cross-image guide,22.62838363647461,0.9416122436523438,0.1297253519296646
LSUI,1056.jpg,Cross-image guide,30.018159866333008,0.9670905470848083,0.0499759316444397
LSUI,1055.jpg,Full spatial guide,25.57828712463379,0.947119951248169,0.09466197341680527
LSUI,1056.jpg,Full spatial guide,31.464862823486328,0.9644854664802551,0.051320288330316544
LSUI,1057.jpg,Zero guide,24.347192764282227,0.9254701137542725,0.1245933398604393
LSUI,1058.jpg,Zero guide,20.280879974365234,0.8934435844421387,0.12477557361125946
LSUI,1057.jpg,Uniform guide,31.23377227783203,0.9840779900550842,0.030260005965828896
LSUI,1058.jpg,Uniform guide,35.8358039855957,0.9884913563728333,0.022205989807844162
LSUI,1057.jpg,Raw-input guide,31.566770553588867,0.9788622856140137,0.03380326181650162
LSUI,1058.jpg,Raw-input guide,37.01899719238281,0.9904217720031738,0.016705704852938652
LSUI,1057.jpg,Cross-image guide,29.963932037353516,0.9810101389884949,0.03939250484108925
LSUI,1058.jpg,Cross-image guide,30.731605529785156,0.9811004996299744,0.05036257207393646
LSUI,1057.jpg,Full spatial guide,31.42061996459961,0.9812453389167786,0.030176030471920967
LSUI,1058.jpg,Full spatial guide,36.67985153198242,0.9900462627410889,0.020802825689315796
LSUI,1059.jpg,Zero guide,25.41046142578125,0.9488803744316101,0.13799239695072174
LSUI,1060.jpg,Zero guide,17.834545135498047,0.8734548687934875,0.2201412320137024
LSUI,1059.jpg,Uniform guide,31.10767364501953,0.9773709177970886,0.04324861243367195
LSUI,1060.jpg,Uniform guide,29.063156127929688,0.9757259488105774,0.04530021548271179
LSUI,1059.jpg,Raw-input guide,28.772228240966797,0.9724828600883484,0.0433821827173233
LSUI,1060.jpg,Raw-input guide,27.92517852783203,0.9679307341575623,0.048465196043252945
LSUI,1059.jpg,Cross-image guide,29.578702926635742,0.9748496413230896,0.04600885510444641
LSUI,1060.jpg,Cross-image guide,26.82246971130371,0.9669384956359863,0.08732900768518448
LSUI,1059.jpg,Full spatial guide,29.08878517150879,0.9736369252204895,0.04226316511631012
LSUI,1060.jpg,Full spatial guide,28.152990341186523,0.9675028324127197,0.04786728322505951
LSUI,1061.jpg,Zero guide,22.60248565673828,0.9254621863365173,0.10252386331558228
LSUI,1062.jpg,Zero guide,17.100847244262695,0.767695963382721,0.37479251623153687
LSUI,1061.jpg,Uniform guide,36.02861022949219,0.988211452960968,0.01663598231971264
LSUI,1062.jpg,Uniform guide,19.259536743164062,0.8500648140907288,0.2509741187095642
LSUI,1061.jpg,Raw-input guide,34.42121887207031,0.9869114756584167,0.02044297382235527
LSUI,1062.jpg,Raw-input guide,17.843372344970703,0.833500862121582,0.2977869510650635
LSUI,1061.jpg,Cross-image guide,27.520980834960938,0.9774956703186035,0.08669658750295639
LSUI,1062.jpg,Cross-image guide,15.27269172668457,0.802563488483429,0.35784271359443665
LSUI,1061.jpg,Full spatial guide,35.095821380615234,0.9873785972595215,0.01812262460589409
LSUI,1062.jpg,Full spatial guide,17.60567283630371,0.828387975692749,0.2859204411506653
LSUI,1063.jpg,Zero guide,22.47621726989746,0.6218130588531494,0.19777074456214905
LSUI,1064.jpg,Zero guide,22.253707885742188,0.9286052584648132,0.11076617240905762
LSUI,1063.jpg,Uniform guide,18.92023277282715,0.580321729183197,0.2383040487766266
LSUI,1064.jpg,Uniform guide,29.090669631958008,0.9747933745384216,0.04426879808306694
LSUI,1063.jpg,Raw-input guide,21.949951171875,0.6189314723014832,0.17609575390815735
LSUI,1064.jpg,Raw-input guide,28.990076065063477,0.9723203778266907,0.053605545312166214
LSUI,1063.jpg,Cross-image guide,18.84506607055664,0.48494240641593933,0.2554352879524231
LSUI,1064.jpg,Cross-image guide,27.428720474243164,0.9716167449951172,0.06817051768302917
