dataset,filename,severity,spatial_score,method,psnr,ssim
LSUI,3052.jpg,Moderate,6.571023464202881,Uniform guide,22.513553619384766,0.8512399792671204
LSUI,3045.jpg,Moderate,6.0960893630981445,PROTEUS,27.9185791015625,0.8881306052207947
LSUI,3046.jpg,Mild,4.493317604064941,PROTEUS,25.92618751525879,0.9002346992492676
LSUI,3047.jpg,Mild,3.6401965618133545,PROTEUS,27.73227310180664,0.9208054542541504
LSUI,3048.jpg,Moderate,7.0254950523376465,PROTEUS,27.99566078186035,0.9413701891899109
LSUI,3049.jpg,Moderate,7.443399906158447,PROTEUS,27.502120971679688,0.8927062153816223
LSUI,3050.jpg,Mild,5.0275044441223145,PROTEUS,26.792217254638672,0.9213964939117432
LSUI,3051.jpg,Severe,9.134711265563965,PROTEUS,27.45751953125,0.8631062507629395
LSUI,3052.jpg,Moderate,6.571023464202881,PROTEUS,25.5302734375,0.8877132534980774
LSUI,3053.jpg,Mild,4.306364059448242,Input,20.272600173950195,0.8320934176445007
LSUI,3054.jpg,Severe,8.33626937866211,Input,19.895401000976562,0.8572594523429871
LSUI,3055.jpg,Mild,3.921379566192627,Input,24.122665405273438,0.84136962890625
LSUI,3056.jpg,Mild,4.8198442459106445,Input,23.14317512512207,0.7884673476219177
LSUI,3057.jpg,Moderate,7.348884582519531,Input,19.08403205871582,0.7909085750579834
LSUI,3058.jpg,Mild,4.715971946716309,Input,22.591054916381836,0.9104130864143372
LSUI,3059.jpg,Mild,5.707220554351807,Input,19.835031509399414,0.7774898409843445
LSUI,3060.jpg,Mild,4.487638473510742,Input,19.308019638061523,0.8019478917121887
LSUI,3053.jpg,Mild,4.306364059448242,WWE-UIE,28.640859603881836,0.8996507525444031
LSUI,3054.jpg,Severe,8.33626937866211,WWE-UIE,27.754138946533203,0.928053081035614
LSUI,3055.jpg,Mild,3.921379566192627,WWE-UIE,30.46109390258789,0.908505380153656
LSUI,3056.jpg,Mild,4.8198442459106445,WWE-UIE,29.62248992919922,0.8926796913146973
LSUI,3057.jpg,Moderate,7.348884582519531,WWE-UIE,28.176937103271484,0.9005804061889648
LSUI,3058.jpg,Mild,4.715971946716309,WWE-UIE,32.35167694091797,0.950983464717865
LSUI,3059.jpg,Mild,5.707220554351807,WWE-UIE,25.672399520874023,0.8654530644416809
LSUI,3060.jpg,Mild,4.487638473510742,WWE-UIE,27.434053421020508,0.913512647151947
LSUI,3053.jpg,Mild,4.306364059448242,Uniform guide,27.160757064819336,0.873675525188446
LSUI,3054.jpg,Severe,8.33626937866211,Uniform guide,27.49397087097168,0.9258973598480225
LSUI,3055.jpg,Mild,3.921379566192627,Uniform guide,29.495637893676758,0.9017080664634705
LSUI,3056.jpg,Mild,4.8198442459106445,Uniform guide,28.81033706665039,0.8670879006385803
LSUI,3057.jpg,Moderate,7.348884582519531,Uniform guide,21.12847137451172,0.8638665080070496
LSUI,3058.jpg,Mild,4.715971946716309,Uniform guide,31.286884307861328,0.9508075714111328
LSUI,3059.jpg,Mild,5.707220554351807,Uniform guide,20.344070434570312,0.8114470839500427
LSUI,3060.jpg,Mild,4.487638473510742,Uniform guide,22.822751998901367,0.8884966373443604
LSUI,3053.jpg,Mild,4.306364059448242,PROTEUS,28.985166549682617,0.9030332565307617
LSUI,3054.jpg,Severe,8.33626937866211,PROTEUS,27.88821029663086,0.9263626933097839
LSUI,3055.jpg,Mild,3.921379566192627,PROTEUS,29.498783111572266,0.9057039618492126
LSUI,3056.jpg,Mild,4.8198442459106445,PROTEUS,28.818923950195312,0.8731854557991028
LSUI,3057.jpg,Moderate,7.348884582519531,PROTEUS,27.597854614257812,0.9046589732170105
LSUI,3058.jpg,Mild,4.715971946716309,PROTEUS,30.891265869140625,0.9521029591560364
LSUI,3059.jpg,Mild,5.707220554351807,PROTEUS,26.64898681640625,0.8675131797790527
LSUI,3060.jpg,Mild,4.487638473510742,PROTEUS,25.530498504638672,0.9068723320960999
LSUI,3061.jpg,Mild,2.837677001953125,Input,18.100597381591797,0.852466881275177
LSUI,3062.jpg,Moderate,6.343686103820801,Input,22.110198974609375,0.8687069416046143
LSUI,3063.jpg,Moderate,7.3268961906433105,Input,21.86458396911621,0.81812983751297
LSUI,3064.jpg,Severe,8.316557884216309,Input,21.52987289428711,0.7851578593254089
LSUI,3065.jpg,Moderate,6.222077369689941,Input,20.237749099731445,0.8081449866294861
LSUI,3066.jpg,Moderate,6.929110527038574,Input,20.158479690551758,0.8321951031684875
LSUI,3067.jpg,Moderate,6.144883155822754,Input,21.172142028808594,0.8621593117713928
LSUI,3068.jpg,Mild,5.658064365386963,Input,21.674758911132812,0.8345394730567932
LSUI,3061.jpg,Mild,2.837677001953125,WWE-UIE,27.07436752319336,0.9189663529396057
LSUI,3062.jpg,Moderate,6.343686103820801,WWE-UIE,28.519168853759766,0.9327865242958069
LSUI,3063.jpg,Moderate,7.3268961906433105,WWE-UIE,26.481847763061523,0.8711152672767639
LSUI,3064.jpg,Severe,8.316557884216309,WWE-UIE,28.906612396240234,0.8608131408691406
LSUI,3065.jpg,Moderate,6.222077369689941,WWE-UIE,29.252262115478516,0.8923438191413879
LSUI,3066.jpg,Moderate,6.929110527038574,WWE-UIE,28.406097412109375,0.9161093831062317
LSUI,3067.jpg,Moderate,6.144883155822754,WWE-UIE,27.92593765258789,0.926322877407074
